ordtype;uid;is_buy;qty;price;timestamp
new;55;False;3;95.8;2019-05-23 09:00:30.216
new;56;False;32;95.9;2019-05-23 09:00:30.216
new;57;False;1;96.15;2019-05-23 09:00:30.216
new;58;False;202;96.4;2019-05-23 09:00:30.216
new;59;False;63;96.6;2019-05-23 09:00:30.216
new;60;False;188;96.75;2019-05-23 09:00:30.216
new;61;False;500;96.8;2019-05-23 09:00:30.216
new;62;False;143;97.0;2019-05-23 09:00:30.216
new;63;False;36;97.1;2019-05-23 09:00:30.216
new;64;False;247;97.15;2019-05-23 09:00:30.216
new;65;True;50;95.7;2019-05-23 09:00:30.216
new;66;True;16;95.65;2019-05-23 09:00:30.216
new;67;True;412;95.5;2019-05-23 09:00:30.216
new;68;True;188;95.15;2019-05-23 09:00:30.216
new;69;True;900;94.9;2019-05-23 09:00:30.216
new;70;True;143;94.85;2019-05-23 09:00:30.216
new;71;True;36;94.75;2019-05-23 09:00:30.216
new;72;True;36;94.6;2019-05-23 09:00:30.216
new;73;True;218;94.55;2019-05-23 09:00:30.216
new;74;True;52;94.5;2019-05-23 09:00:30.216
modif;72;;14;;2019-05-23 09:00:30.231
modif;68;;14;;2019-05-23 09:00:30.233
modif;55;;2;;2019-05-23 09:00:30.337
modif;64;;142;;2019-05-23 09:00:30.344
modif;55;;1;;2019-05-23 09:00:30.461
new;75;False;709;97.3;2019-05-23 09:00:30.461
cancel;57;;1;;2019-05-23 09:00:30.462
new;76;False;296;97.35;2019-05-23 09:00:30.462
cancel;74;;52;;2019-05-23 09:00:30.965
new;77;True;34;95.3;2019-05-23 09:00:30.965
cancel;76;;296;;2019-05-23 09:00:30.965
new;78;False;34;96.3;2019-05-23 09:00:30.965
cancel;73;;218;;2019-05-23 09:00:30.967
new;79;True;34;95.35;2019-05-23 09:00:30.967
cancel;75;;709;;2019-05-23 09:00:30.967
new;80;False;34;96.25;2019-05-23 09:00:30.967
cancel;66;;16;;2019-05-23 09:00:30.971
new;81;True;218;94.55;2019-05-23 09:00:30.971
new;82;True;14;95.15;2019-05-23 09:00:30.972
new;83;True;14;94.6;2019-05-23 09:00:30.974
cancel;81;;218;;2019-05-23 09:00:31.061
new;84;True;63;95.55;2019-05-23 09:00:31.061
modif;64;;105;;2019-05-23 09:00:31.061
new;85;False;63;96.05;2019-05-23 09:00:31.061
new;86;True;500;94.75;2019-05-23 09:00:31.419
modif;72;;22;;2019-05-23 09:00:31.772
cancel;83;;14;;2019-05-23 09:00:31.772
new;87;True;34;95.4;2019-05-23 09:00:31.772
cancel;63;;36;;2019-05-23 09:00:31.772
new;88;False;34;96.2;2019-05-23 09:00:31.772
cancel;62;;143;;2019-05-23 09:00:32.771
new;89;False;34;96.15;2019-05-23 09:00:32.771
cancel;71;;36;;2019-05-23 09:00:32.774
cancel;86;;500;;2019-05-23 09:00:32.774
new;90;True;34;95.45;2019-05-23 09:00:32.774
cancel;61;;500;;2019-05-23 09:00:32.775
new;91;False;34;96.1;2019-05-23 09:00:32.775
new;92;True;34;95.5;2019-05-23 09:00:32.776
new;93;True;250;95.4;2019-05-23 09:00:33.512
